matrix_cell_id,decoder_type,optimizer,loss_type,scale,prior_flag,track,target_runs,completed_runs,best_run_dir,status,paper_track,sweep_id,notes
film|muon|l2|multi_1248|prior0|l128,film,muon,l2,multi_1248,0,latent128_ablation,1,1,results/fae_film_muon_l2_latent128/run_4cyupstm,complete,latent128,,latent_dim=128 ablation
film|muon|ntk_scaled|multi_1248|prior0|l128,film,muon,ntk_scaled,multi_1248,0,latent128_ablation,1,1,results/fae_film_muon_ntk_99pct_latent128/run_ea5yckkq,complete,latent128,,latent_dim=128 ablation
film|muon|l2|multi_1248|prior1|l128,film,muon,l2,multi_1248,1,latent128_ablation,1,1,results/fae_film_muon_prior_latent128/run_xn2xd51y,complete,latent128,,latent_dim=128 l2+prior ablation
film|muon|ntk_scaled|multi_1248|prior1|l128,film,muon,ntk_scaled,multi_1248,1,latent128_ablation,1,1,results/fae_film_muon_ntk_prior_latent128/run_vq1adonq,complete,latent128,,latent_dim=128 ntk+prior ablation
film|adam|l2|multi_1248|prior0|l128,film,adam,l2,multi_1248,0,latent128_ablation,1,1,results/fae_film_adam_l2_latent128/run_g0ysv6bb,complete,latent128,,latent_dim=128 ablation
film|adam|ntk_scaled|multi_1248|prior0|l128,film,adam,ntk_scaled,multi_1248,0,latent128_ablation,1,1,results/fae_film_adam_ntk_99pct_latent128/run_sphluzvp,complete,latent128,,latent_dim=128 ablation
film|adam|l2|multi_1248|prior1|l128,film,adam,l2,multi_1248,1,latent128_ablation,1,1,results/fae_film_adam_prior_latent128/run_mgn5f93n,complete,latent128,,latent_dim=128 l2+prior ablation
film|adam|ntk_scaled|multi_1248|prior1|l128,film,adam,ntk_scaled,multi_1248,1,latent128_ablation,1,1,results/fae_film_adam_ntk_prior_latent128/run_uae85cd8,complete,latent128,,latent_dim=128 ntk+prior ablation
