matrix_cell_id,decoder_type,optimizer,loss_type,scale,regularizer,prior_flag,track,completed_runs,best_run_dir,status,paper_track,run_role,run_label,notes
transformer|adamw|beta1e3|multi_1248|baseline,transformer,adamw,l2,multi_1248,none,0,transformer_pair_geometry,1,results/fae_transformer_patch8_adamw_beta1e3_l128x128/transformer_patch8_adamw_beta1e3_l128x128,complete,,baseline,AdamW + beta1e3,canonical transformer pair baseline
transformer|adamw|ntk_prior_balanced|multi_1248|treatment,transformer,adamw,ntk_prior_balanced,multi_1248,diffusion_prior,1,transformer_pair_geometry,1,results/fae_transformer_patch8_adamw_ntk_prior_balanced_l128x128_prior128h3h4_logsnr5/transformer_patch8_adamw_ntk_prior_balanced_l128x128_prior128h3h4_logsnr5,complete,,treatment,AdamW + NTK+Prior,canonical transformer pair treatment
